Item,,Name,Action Pool,Description,
Form,,Blaster,d8 d8 d8,"Your Actions may apply to one extra target within range. When you add Blaster Form to a Style, increase that Style's maximum range by 1",d8 d8 d8
Form,,Control,d10 d8 d6 d4,"When an enemy within range takes an action you can spend one Control token to negate it or two control tokens to redirect it.
You may only use Control tokens once per turn. If you negate an action they lose the number they spent and the action does not happen.
If you redirect an action you choose all targets and make all decisions for that action",d10 d8 d6 d4
Form,,Dance,d10 d8 d6,"After you Throw or Grapple someone, you gain X Speed tokens, where X is how many spaces you moved them.
After each space you move using Free Movement, you may choose someone within range and pull them 1 space",d10 d8 d6
Form,,Iron,d8 d6 d6,"You have Armor. When you gain Speed tokens, replace half of them (rounded up) with Iron tokens",d8 d6 d6
Form,,One-Two,d6 d6 d4 d4,"After you deal damage to an enemy with an Action, you hit them again for 1 damage",d6 d6 d4 d4
Form,,Power,d10 d10 d4,"When you gain Speed tokens, replace half of them (rounded up) with Power tokens.
You may spend up to 3 Power tokens per hit",d10 d10 d8
Form,,Reversal,d8 d8 d6 d4,"You have Armor. You do not discard your Speed tokens at the end of a turn.
You may only take one Action per turn.
Your Action Pool does not empty between Turns or Rounds",d8 d8 d6 d4
Form,,Shadow,d4 d4 d4 d4 d4 d4,"At the start and end of your turn, you gain 2 Speed tokens
You do not discard your Speed tokens at the end of a turn.",d4 d4 d4 d4 d4 d4
Form,,Song,d8 d6 d6 d4,"At the start of each turn choose a song; Iron, Power or Speed. You gain three tokens of the chosen type and each of your allies gain 1 of that type",d8 d6 d6 d4
Form,,Vigilance,d6 d6 d6 d6,"At the start of your turn, either heal or discard one token you hold. At the end of your turn, choose an enemy in range and give them one Weakness token",d6 d6 d6 d6
Form,,Wild,d10 d6 d6,"At the start of your turn, for each of these that is true, add 1d6 to your Action Dice
-Your current Health Bar is at half HP or less
-Someone on your team is Taken Out
-You are holding a non-basic Token",d10 d6 d6
Form,,Zen,7 5 3 1,"Your Action Pool is predetermined: 7, 5, 3, 1. You may hold multiple Shields at a time. Only one Shield is active at a time. When your active Shield breaks, your next Shield doesn't become active until the end of the current turn.
When an enemy damages or breaks your Shield, you deal 1 damage to them",7 5 3 1
,,,,,
,,,,,
,,,,,
,Form,Name,Cost,Description,
Form-Action,Blaster,Amplify,3+,Your next Action this turn has its range increased by 2 and may apply to up to three extra targets within range,
Form-Action,Blaster,Shockwave,3+ 6+,"Deal 1 damage to every enemy within range.
6+: Deal 2 damage to one enemy within range",
Form-Action,Control,Suppression,3+ 6+ 9+,"You gain 1 Control token and move 1 space.
6+ you gain 1 Control token
9+ You gain one control token and can move one space",
Form-Action,Dance,Try to Keep Up,3 Speed Tokens,"Move two spaces, then heal 2.",
Form-Action,Iron,Secure,3+,Choose two: you gain 3 Iron tokens; an ally within range gains 2 Iron tokens; or heal someone within range,
Form-Action,Iron,Contain,3+,Choose two: pull an enemy 2 spaces; Challenge an enemy you can see; or place a trap into a space within range,
Form-Action,Iron,Protect,6+,Choose 4 from the Secure and/or Contain lists,
Form-Action,One-Two,Slide In,1+,Teleport 2 spaces,
Form-Action,One-Two,Whirlwind,4+,Deal 1 damage to up to three enemies within range,
Form-Action,Power,Yell,3+,You gain 3 Power tokens,
